Date,Dividends,Stock Splits,name
2011-06-08 00:00:00+05:30,2.8,0.0,Axis Bank Ltd.
2012-06-14 00:00:00+05:30,3.2,0.0,Axis Bank Ltd.
2013-07-05 00:00:00+05:30,3.6,0.0,Axis Bank Ltd.
2014-06-12 00:00:00+05:30,4.0,0.0,Axis Bank Ltd.
2014-07-28 00:00:00+05:30,0.0,5.0,Axis Bank Ltd.
2015-07-09 00:00:00+05:30,4.6,0.0,Axis Bank Ltd.
2016-07-07 00:00:00+05:30,5.0,0.0,Axis Bank Ltd.
2017-07-06 00:00:00+05:30,5.0,0.0,Axis Bank Ltd.
2019-07-04 00:00:00+05:30,1.0,0.0,Axis Bank Ltd.
2022-07-07 00:00:00+05:30,1.0,0.0,Axis Bank Ltd.
2023-07-07 00:00:00+05:30,1.0,0.0,Axis Bank Ltd.
2024-07-12 00:00:00+05:30,1.0,0.0,Axis Bank Ltd.
2025-07-04 00:00:00+05:30,1.0,0.0,Axis Bank Ltd.
2008-06-27 00:00:00+05:30,10.0,0.0,Bajaj Auto Ltd.
2009-07-02 00:00:00+05:30,11.0,0.0,Bajaj Auto Ltd.
2010-07-08 00:00:00+05:30,20.0,0.0,Bajaj Auto Ltd.
2010-09-08 00:00:00+05:30,0.0,2.0,Bajaj Auto Ltd.
2011-06-29 00:00:00+05:30,40.0,0.0,Bajaj Auto Ltd.
2012-07-05 00:00:00+05:30,45.0,0.0,Bajaj Auto Ltd.
2013-07-04 00:00:00+05:30,45.0,0.0,Bajaj Auto Ltd.
2014-07-03 00:00:00+05:30,50.0,0.0,Bajaj Auto Ltd.
2015-07-09 00:00:00+05:30,50.0,0.0,Bajaj Auto Ltd.
2016-03-16 00:00:00+05:30,50.0,0.0,Bajaj Auto Ltd.
2016-07-14 00:00:00+05:30,5.0,0.0,Bajaj Auto Ltd.
2017-07-06 00:00:00+05:30,55.0,0.0,Bajaj Auto Ltd.
2018-07-05 00:00:00+05:30,60.0,0.0,Bajaj Auto Ltd.
2019-07-11 00:00:00+05:30,60.0,0.0,Bajaj Auto Ltd.
2020-03-03 00:00:00+05:30,120.0,0.0,Bajaj Auto Ltd.
2021-07-08 00:00:00+05:30,140.0,0.0,Bajaj Auto Ltd.
2022-06-30 00:00:00+05:30,140.0,0.0,Bajaj Auto Ltd.
2023-06-30 00:00:00+05:30,140.0,0.0,Bajaj Auto Ltd.
2024-06-14 00:00:00+05:30,80.0,0.0,Bajaj Auto Ltd.
2025-06-20 00:00:00+05:30,210.0,0.0,Bajaj Auto Ltd.
2003-07-10 00:00:00+05:30,0.043721,0.0,Bajaj Finance Ltd.
2004-07-15 00:00:00+05:30,0.058295,0.0,Bajaj Finance Ltd.
2005-06-29 00:00:00+05:30,0.072869,0.0,Bajaj Finance Ltd.
2006-06-29 00:00:00+05:30,0.038863,0.0,Bajaj Finance Ltd.
2007-06-28 00:00:00+05:30,0.029147,0.0,Bajaj Finance Ltd.
2008-06-27 00:00:00+05:30,0.009716,0.0,Bajaj Finance Ltd.
2009-06-29 00:00:00+05:30,0.019432,0.0,Bajaj Finance Ltd.
2010-07-08 00:00:00+05:30,0.058295,0.0,Bajaj Finance Ltd.
2011-06-29 00:00:00+05:30,0.097158,0.0,Bajaj Finance Ltd.
2012-07-05 00:00:00+05:30,0.11659,0.0,Bajaj Finance Ltd.
2013-07-04 00:00:00+05:30,0.15,0.0,Bajaj Finance Ltd.
2014-07-03 00:00:00+05:30,0.16,0.0,Bajaj Finance Ltd.
2015-07-09 00:00:00+05:30,0.18,0.0,Bajaj Finance Ltd.
2016-03-16 00:00:00+05:30,0.18,0.0,Bajaj Finance Ltd.
2016-07-14 00:00:00+05:30,0.07,0.0,Bajaj Finance Ltd.
2016-09-08 00:00:00+05:30,0.0,5.0,Bajaj Finance Ltd.
2017-07-06 00:00:00+05:30,0.36,0.0,Bajaj Finance Ltd.
2018-07-05 00:00:00+05:30,0.4,0.0,Bajaj Finance Ltd.
2019-07-11 00:00:00+05:30,0.6,0.0,Bajaj Finance Ltd.
2020-03-03 00:00:00+05:30,1.0,0.0,Bajaj Finance Ltd.
2021-07-08 00:00:00+05:30,1.0,0.0,Bajaj Finance Ltd.
2022-06-30 00:00:00+05:30,2.0,0.0,Bajaj Finance Ltd.
2023-06-30 00:00:00+05:30,3.0,0.0,Bajaj Finance Ltd.
2024-06-21 00:00:00+05:30,3.6,0.0,Bajaj Finance Ltd.
2025-05-09 00:00:00+05:30,1.2,0.0,Bajaj Finance Ltd.
2025-05-30 00:00:00+05:30,4.4,0.0,Bajaj Finance Ltd.
2025-06-16 00:00:00+05:30,0.0,2.0,Bajaj Finance Ltd.
2008-06-27 00:00:00+05:30,0.098246,0.0,Bajaj Finserv Ltd.
2009-07-02 00:00:00+05:30,0.098246,0.0,Bajaj Finserv Ltd.
2010-07-08 00:00:00+05:30,0.098246,0.0,Bajaj Finserv Ltd.
2011-06-29 00:00:00+05:30,0.122808,0.0,Bajaj Finserv Ltd.
2012-07-05 00:00:00+05:30,0.147369,0.0,Bajaj Finserv Ltd.
2013-07-04 00:00:00+05:30,0.15,0.0,Bajaj Finserv Ltd.
2014-07-03 00:00:00+05:30,0.175,0.0,Bajaj Finserv Ltd.
2015-07-09 00:00:00+05:30,0.175,0.0,Bajaj Finserv Ltd.
2016-03-16 00:00:00+05:30,0.175,0.0,Bajaj Finserv Ltd.
2017-07-06 00:00:00+05:30,0.175,0.0,Bajaj Finserv Ltd.
2018-07-05 00:00:00+05:30,0.175,0.0,Bajaj Finserv Ltd.
2019-07-11 00:00:00+05:30,0.25,0.0,Bajaj Finserv Ltd.
2020-03-03 00:00:00+05:30,0.5,0.0,Bajaj Finserv Ltd.
2021-07-08 00:00:00+05:30,0.3,0.0,Bajaj Finserv Ltd.
2022-06-30 00:00:00+05:30,0.4,0.0,Bajaj Finserv Ltd.
2022-09-13 00:00:00+05:30,0.0,5.0,Bajaj Finserv Ltd.
2023-06-30 00:00:00+05:30,0.8,0.0,Bajaj Finserv Ltd.
2024-06-21 00:00:00+05:30,1.0,0.0,Bajaj Finserv Ltd.
2025-06-27 00:00:00+05:30,1.0,0.0,Bajaj Finserv Ltd.
2002-09-12 00:00:00+05:30,0.050505,0.0,Bharat Electronics Ltd.
2003-08-29 00:00:00+05:30,0.070707,0.0,Bharat Electronics Ltd.
2004-09-07 00:00:00+05:30,0.10101,0.0,Bharat Electronics Ltd.
2004-12-07 00:00:00+05:30,0.040404,0.0,Bharat Electronics Ltd.
2005-08-31 00:00:00+05:30,0.072727,0.0,Bharat Electronics Ltd.
2005-10-31 00:00:00+05:30,0.040404,0.0,Bharat Electronics Ltd.
2006-09-01 00:00:00+05:30,0.107071,0.0,Bharat Electronics Ltd.
2007-01-25 00:00:00+05:30,0.040404,0.0,Bharat Electronics Ltd.
2007-09-07 00:00:00+05:30,0.141414,0.0,Bharat Electronics Ltd.
2008-01-30 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2008-09-12 00:00:00+05:30,0.148485,0.0,Bharat Electronics Ltd.
2009-01-28 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2009-09-14 00:00:00+05:30,0.128283,0.0,Bharat Electronics Ltd.
2010-02-03 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2010-09-13 00:00:00+05:30,0.133333,0.0,Bharat Electronics Ltd.
2011-02-02 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2011-09-13 00:00:00+05:30,0.157576,0.0,Bharat Electronics Ltd.
2012-02-01 00:00:00+05:30,0.10101,0.0,Bharat Electronics Ltd.
2012-09-07 00:00:00+05:30,0.109091,0.0,Bharat Electronics Ltd.
2013-01-30 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2013-09-06 00:00:00+05:30,0.164646,0.0,Bharat Electronics Ltd.
2014-01-29 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2014-09-12 00:00:00+05:30,0.174747,0.0,Bharat Electronics Ltd.
2015-01-28 00:00:00+05:30,0.060606,0.0,Bharat Electronics Ltd.
2015-08-10 00:00:00+05:30,0.234343,0.0,Bharat Electronics Ltd.
2015-09-14 00:00:00+05:30,0.0,3.0,Bharat Electronics Ltd.
2016-02-04 00:00:00+05:30,0.075758,0.0,Bharat Electronics Ltd.
2016-08-18 00:00:00+05:30,0.439394,0.0,Bharat Electronics Ltd.
2017-02-02 00:00:00+05:30,0.090909,0.0,Bharat Electronics Ltd.
2017-03-16 00:00:00+05:30,0.0,10.0,Bharat Electronics Ltd.
2017-03-29 00:00:00+05:30,0.272727,0.0,Bharat Electronics Ltd.
2017-08-14 00:00:00+05:30,0.318182,0.0,Bharat Electronics Ltd.
2017-09-28 00:00:00+05:30,0.0,1.1,Bharat Electronics Ltd.
2018-02-08 00:00:00+05:30,0.533333,0.0,Bharat Electronics Ltd.
2018-08-20 00:00:00+05:30,0.133333,0.0,Bharat Electronics Ltd.
2019-02-08 00:00:00+05:30,0.1,0.0,Bharat Electronics Ltd.
2019-03-27 00:00:00+05:30,0.233333,0.0,Bharat Electronics Ltd.
2019-08-20 00:00:00+05:30,0.566667,0.0,Bharat Electronics Ltd.
2020-02-11 00:00:00+05:30,0.466667,0.0,Bharat Electronics Ltd.
2020-09-15 00:00:00+05:30,0.466667,0.0,Bharat Electronics Ltd.
2021-02-08 00:00:00+05:30,0.466667,0.0,Bharat Electronics Ltd.
2021-03-23 00:00:00+05:30,0.466667,0.0,Bharat Electronics Ltd.
2021-09-14 00:00:00+05:30,0.4,0.0,Bharat Electronics Ltd.
2022-02-09 00:00:00+05:30,0.5,0.0,Bharat Electronics Ltd.
2022-03-24 00:00:00+05:30,0.5,0.0,Bharat Electronics Ltd.
2022-08-08 00:00:00+05:30,0.5,0.0,Bharat Electronics Ltd.
2022-09-15 00:00:00+05:30,0.0,3.0,Bharat Electronics Ltd.
2023-02-10 00:00:00+05:30,0.6,0.0,Bharat Electronics Ltd.
2023-03-24 00:00:00+05:30,0.6,0.0,Bharat Electronics Ltd.
2023-08-17 00:00:00+05:30,0.6,0.0,Bharat Electronics Ltd.
2024-02-09 00:00:00+05:30,0.7,0.0,Bharat Electronics Ltd.
2024-03-22 00:00:00+05:30,0.7,0.0,Bharat Electronics Ltd.
2024-08-14 00:00:00+05:30,0.8,0.0,Bharat Electronics Ltd.
2025-03-11 00:00:00+05:30,1.5,0.0,Bharat Electronics Ltd.
2025-08-14 00:00:00+05:30,0.9,0.0,Bharat Electronics Ltd.
